Bredd
Plac; StartNr; Namn; Totaltid; #Etapper; Etapp1; Etapp2; Etapp3; Etapp4
; 201; Lundahl, Lars; --.--.--; 0; --.--.--
17; 418; Olsson, Torbjörn;  00.00.00; 0; --.--.--; --.--.--; --.--.--
18; 419; Karlsson, Bo;  00.00.00; 0; --.--.--; --.--.--; --.--.--
19; 420; Adolfsson, Magnus;  00.00.00; 0; --.--.--; --.--.--; --.--.--
; 421; Torstensson, Villgoth; --.--.--; 0; --.--.--
21; 422; Staberg, Per;  00.00.00; 0; --.--.--; --.--.--; --.--.--
22; 423; Ljungberg, Arne;  00.00.00; 0; --.--.--; --.--.--; --.--.--
23; 424; Jönsson, Per;  00.00.00; 0; --.--.--; --.--.--; --.--.--
; 425; Thorsson, Lennart; --.--.--; 0; --.--.--
25; 426; Pettersson, Leif;  00.00.00; 0; --.--.--; --.--.--; --.--.--
26; 427; Berghuvud, Ansel;  00.00.00; 0; --.--.--; --.--.--; --.--.--
27; 428; Kristensson, Mikael;  00.00.00; 0; --.--.--; --.--.--; --.--.--
; 429; Åkesson, Lars-Olof; --.--.--; 0; --.--.--
29; 430; Waitman, Alexander;  00.00.00; 0; --.--.--; --.--.--; --.--.--
30; 431; Svanberg, Anders;  00.00.00; 0; --.--.--; --.--.--; --.--.--
31; 432; Olofsson, Jan;  00.00.00; 0; --.--.--; --.--.--; --.--.--
32; 433; Arvidsson, Peter;  00.00.00; 0; --.--.--; --.--.--; --.--.--
33; 434; Lejhagen, Anders;  00.00.00; 0; --.--.--; --.--.--; --.--.--
; 435; Nordin, Ulf; --.--.--; 0; --.--.--
35; 436; Elwenvik, Wilho;  00.00.00; 0; --.--.--; --.--.--; --.--.--
36; 437; Schuberg, Ronny;  00.00.00; 0; --.--.--; --.--.--; --.--.--
37; 438; Gunnarsson, Hans;  00.00.00; 0; --.--.--; --.--.--; --.--.--
; 439; Johansson, Ola; --.--.--; 0; --.--.--
; 440; Braun, Björn; --.--.--; 0; --.--.--
40; 441; Winberg, Gerth;  00.00.00; 0; --.--.--; --.--.--; --.--.--
41; 442; Olsson, Göran;  00.00.00; 0; --.--.--; --.--.--; --.--.--
42; 443; Berglund, Rolf;  00.00.00; 0; --.--.--; --.--.--; --.--.--
; 444; Axelsson, Dan; --.--.--; 0; --.--.--
44; 445; Alfredson, Carl-Olof;  00.00.00; 0; --.--.--; --.--.--; --.--.--
; 446; Lundblad,Niclas;  00.00.00; 0; --.--.--; --.--.--
46; 447; Olofsson, Klas;  00.00.00; 0; --.--.--; --.--.--; --.--.--
47; 448; Adiels, Stefan;  00.00.00; 0; --.--.--; --.--.--; --.--.--
; 449; Grahn, Leif; --.--.--; 0; --.--.--
; 450; Bengtsson, Sven; --.--.--; 0; --.--.--
50; 451; Larsson, Mats;  00.00.00; 0; --.--.--; --.--.--; --.--.--
; 452; Hjelm, Anders;  00.00.00; 0; --.--.--; --.--.--
; 453; Larsson, Gösta;  00.00.00; 0; --.--.--
53; 455; Enström, Jan;  00.00.00; 0; --.--.--; --.--.--; --.--.--
54; 456; Ivarsson, Ralf;  00.00.00; 0; --.--.--; --.--.--; --.--.--
55; 457; Ottosson, Roger;  00.00.00; 0; --.--.--; --.--.--; --.--.--
; 458; Bengtsson, Stig; --.--.--; 0; --.--.--
; 459; Arvidsson, Bengt; --.--.--; 0; --.--.--
; 460; Braun, Manfred; --.--.--; 0; --.--.--
; 461; Samuelsson, Mikale; --.--.--; 0; --.--.--
60; 462; Leeman, Lars;  00.00.00; 0; --.--.--; --.--.--; --.--.--
61; 463; Pettersson, Jerry;  00.00.00; 0; --.--.--; --.--.--; --.--.--
; 464; Thörn, Anders; --.--.--; 0; --.--.--
63; 465; Jansson, David;  00.00.00; 0; --.--.--; --.--.--; --.--.--
64; 466; Loven, Stefan;  00.00.00; 0; --.--.--; --.--.--; --.--.--
65; 467; Tyrenhag, Jan;  00.00.00; 0; --.--.--; --.--.--; --.--.--
66; 468; Ekdahl, Bengt;  00.00.00; 0; --.--.--; --.--.--; --.--.--
; 469; Persson, Magnus; --.--.--; 0; --.--.--
68; 470; Karlsson, Magnus;  00.00.00; 0; --.--.--; --.--.--; --.--.--
69; 471; Johannesson, Peter;  00.00.00; 0; --.--.--; --.--.--; --.--.--
70; 472; Karlsson, Sven-Åke;  00.00.00; 0; --.--.--; --.--.--; --.--.--
71; 474; Jonsson, Mikael;  00.00.00; 0; --.--.--; --.--.--; --.--.--
72; 475; Svensson, Hans;  00.00.00; 0; --.--.--; --.--.--; --.--.--
; 477; Jansson, Mikael; --.--.--; 0; --.--.--
Senior
Plac; StartNr; Namn; Totaltid; #Etapper; Etapp1; Etapp2; Etapp3; Etapp4; Etapp5
1; 1; Karlsson, Jerry;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
2; 2; Almen, Kristofer;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
3; 3; Johansson Björn;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
; 4; Johansson Joakim;  00.00.00; 0; --.--.--; --.--.--; --.--.--
; 5; Olofsson, Henrik;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
; 6; Svensson Pelle; --.--.--; 0; --.--.--
7; 7; Ahlgren, Roger;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
8; 8; Ambernotsson, Lars;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
; 9; Svensson, Fredrik; --.--.--; 0; --.--.--
10; 10; Karlsson, Magnus;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
; 11; Rohlen, Daniel;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
12; 12; Gustafsson, Christoffer;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
13; 13; Jansson, Christer;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
14; 14; Bengtsson, Erik;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
15; 15; Svensson, Erik;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
16; 16; Hansen, Nikolaj;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
; 17; Dalby Damm, Henrik;  00.00.00; 0; --.--.--; --.--.--
18; 18; Hansen, Jacob;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
19; 19; Hansen, Jan;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
; 20; Andersen, Curt;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--
21; 21; Pedersen, Johnny;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
22; 22; Larsen, Andre;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
23; 23; Christoffersen, Lars;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
24; 24; Hultberg, Jan;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
; 25; Pennholm, Peter;  00.00.00; 0; --.--.--; --.--.--; --.--.--
; 26; Hedendahl, Joackim; --.--.--; 0; --.--.--
27; 27; Rosendal, Andreas;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
28; 28; Harrysson, Thomas;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
29; 29; Johansson, Joakim;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
30; 30; Larsson Lars-Erik;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
31; 31; Hermansson, Jonas;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
32; 32; Olsson, Pär;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
33; 33; Pettersson, Tony;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
34; 34; Turesson, Magnus;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
35; 35; Andersson, Pierre;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
36; 36; Johansson, Håkan;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
37; 37; Adielsson, Olof;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
38; 38; Olofsson, Magnus;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
; 39; Bengtsson, Thomas;  00.00.00; 0; --.--.--; --.--.--; --.--.--
; 40; Roslund, Mattias;  00.00.00; 0; --.--.--; --.--.--; --.--.--
41; 41; Johansson, Daniel;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
42; 42; Svenman, Rickard;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
; 43; Björklund, Mikael; --.--.--; 0; --.--.--
44; 44; Johansson, Tomas;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
45; 45; Johansson, Christian;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
46; 46; Klövmark, Henrik;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
47; 47; Tenggren, Christian;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
; 48; Dupont, Johan;  00.00.00; 0; --.--.--; --.--.--
49; 49; Gottfridsson, Christian;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
; 50; Andersson, Magnus; --.--.--; 0; --.--.--
; 51; Berglund, Thomas; --.--.--; 0; --.--.--
; 52; Jönsson, Sven Erik; --.--.--; 0; --.--.--
53; 53; Hansson, Richard;  00.00.00; 0; --.--.--; --.--.--; --.--.--; --.--.--; --.--.--
